time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain
20:19:47:3,0.0564,0.4405,0.9506,-0.0408,0.4076,-0.1436,-0.1372,0.217,0.0316,1024.4785,-4.26,-3.24,-9.96,102,69.91,-24.823,-3.398,65.6188
20:19:47:3,0.0564,0.4405,0.9506,-0.1793,-0.3185,0.7053,-0.1372,0.217,0.0316,1024.4785,-4.26,-3.24,-9.96,102,69.91,-24.823,-3.398,65.6188
20:19:47:5,0.0779,0.4158,0.9118,-0.1793,-0.3185,0.7053,-0.1372,0.217,0.0316,1024.4785,-4.26,-3.24,-9.96,102,68.97,-24.437,-4.886,75.4919
20:19:47:5,0.0779,0.4158,0.9118,-0.1793,-0.3185,0.7053,-0.1372,0.217,0.0316,1024.4785,-4.2,-2.1,-8.76,102,61.76,-24.437,-4.886,75.4919
20:19:47:5,0.0779,0.4158,0.9118,-0.1793,-0.3185,0.7053,-0.2098,-0.1813,-0.217,1024.4785,-4.2,-2.1,-8.76,102,61.76,-24.437,-4.886,75.4919
20:19:47:5,0.0779,0.4158,0.9118,-0.1793,-0.3185,0.7053,-0.2098,-0.1813,-0.217,1024.4517,-4.2,-2.1,-8.76,102,61.76,-24.437,-4.886,75.4919
20:19:47:5,0.0779,0.4158,0.9118,-0.1793,-0.3185,0.7053,-0.2098,-0.1813,-0.217,1024.4517,-4.2,-2.1,-8.76,104,61.76,-24.437,-4.886,75.4919
20:19:47:5,0.0779,0.4158,0.9118,-0.0056,-0.1718,0.1296,-0.2098,-0.1813,-0.217,1024.4517,-4.2,-2.1,-8.76,104,61.76,-24.437,-4.886,75.4919
20:19:47:7,0.0269,0.4192,0.9472,-0.0056,-0.1718,0.1296,-0.2098,-0.1813,-0.217,1024.4517,-4.2,-2.1,-8.76,104,67.074,-23.866,-1.625,75.4919
20:19:47:7,0.0269,0.4192,0.9472,-0.0056,-0.1718,0.1296,-0.2098,-0.1813,-0.217,1024.4517,-4.5,-1.68,-8.76,104,64.159,-23.866,-1.625,75.4919
20:19:47:7,0.0269,0.4192,0.9472,-0.0056,-0.1718,0.1296,-0.1671,-0.1892,-0.2476,1024.4517,-4.5,-1.68,-8.76,104,64.159,-23.866,-1.625,75.4919
20:19:47:7,0.0269,0.4192,0.9472,-0.0056,-0.1718,0.1296,-0.1671,-0.1892,-0.2476,1024.437,-4.5,-1.68,-8.76,104,64.159,-23.866,-1.625,75.4919
20:19:47:7,0.0269,0.4192,0.9472,-0.0056,-0.1718,0.1296,-0.1671,-0.1892,-0.2476,1024.437,-4.5,-1.68,-8.76,105,64.159,-23.866,-1.625,75.4919
20:19:47:7,0.0269,0.4192,0.9472,-0.4525,0.0248,0.3955,-0.1671,-0.1892,-0.2476,1024.437,-4.5,-1.68,-8.76,105,64.159,-23.866,-1.625,75.4919
20:19:47:9,0.0269,0.4192,0.9472,-0.4525,0.0248,0.3955,-0.1671,-0.1892,-0.2476,1024.4482,-4.5,-1.68,-8.76,105,64.159,-23.866,-1.625,75.7195
20:19:47:9,0.0269,0.4192,0.9472,-0.4525,0.0248,0.3955,-0.1671,-0.1892,-0.2476,1024.4482,-3.9,0.36,-9.18,105,41.676,-23.866,-1.625,75.7195
20:19:47:9,0.0269,0.4192,0.9472,-0.4525,0.0248,0.3955,0.31,0.1052,0.3443,1024.4482,-3.9,0.36,-9.18,105,41.676,-23.866,-1.625,75.7195
20:19:47:9,0.0159,0.4295,1.0149,-0.4525,0.0248,0.3955,0.31,0.1052,0.3443,1024.4482,-3.9,0.36,-9.18,105,43.685,-22.936,-0.896,75.7195
20:19:47:9,0.0159,0.4295,1.0149,-0.4525,0.0248,0.3955,0.31,0.1052,0.3443,1024.4482,-3.9,0.36,-9.18,104,43.685,-22.936,-0.896,75.7195
20:19:47:9,0.0159,0.4295,1.0149,-0.4804,0.3611,0.9481,0.31,0.1052,0.3443,1024.4482,-3.9,0.36,-9.18,104,43.685,-22.936,-0.896,75.7195
20:20:04:0,-0.0413,0.6579,0.7557,-0.4804,0.3611,0.9481,0.31,0.1052,0.3443,1024.4482,-3.9,0.36,-9.18,104,35.568,-41.003,3.128,-67.5389
20:20:04:0,-0.0413,0.6579,0.7557,-0.4804,0.3611,0.9481,0.31,0.1052,0.3443,1024.4536,-3.9,0.36,-9.18,104,35.568,-41.003,3.128,-67.5389
20:20:04:2,-0.0183,0.6465,0.7689,-0.4804,0.3611,0.9481,0.31,0.1052,0.3443,1024.4536,-3.9,0.36,-9.18,104,33.929,-40.049,1.365,-83.4565
20:20:04:2,-0.0183,0.6465,0.7689,-0.4804,0.3611,0.9481,0.31,0.1052,0.3443,1024.4536,-1.8,-20.82,-1.68,104,172.955,-40.049,1.365,-83.4565
20:20:04:2,-0.0183,0.6465,0.7689,-0.4804,0.3611,0.9481,0.31,0.1052,0.3443,1024.4573,-1.8,-20.82,-1.68,104,172.955,-40.049,1.365,-83.4565
20:20:04:2,-0.0183,0.6465,0.7689,-0.4804,0.3611,0.9481,0.31,0.1052,0.3443,1024.4573,-1.8,-20.82,-1.68,70,172.955,-40.049,1.365,-83.4565
20:20:04:2,-0.0183,0.6465,0.7689,1.576,-1.0302,1.3028,0.31,0.1052,0.3443,1024.4573,-1.8,-20.82,-1.68,70,172.955,-40.049,1.365,-83.4565
20:20:04:3,-0.0183,0.6465,0.7689,0.4138,-0.3567,0.4434,0.31,0.1052,0.3443,1024.4573,-1.8,-20.82,-1.68,70,172.955,-40.049,1.365,-83.4565
20:20:04:3,-0.0183,0.6465,0.7689,0.4138,-0.3567,0.4434,0.018,-0.0774,0.0829,1024.4573,-1.8,-20.82,-1.68,70,172.955,-40.049,1.365,-83.4565
20:20:04:3,-0.0183,0.6465,0.7689,0.4138,-0.3567,0.4434,0.018,-0.0774,0.0829,1024.4573,-1.98,-20.46,-2.04,70,171.972,-40.049,1.365,-83.4565
20:20:04:3,-0.0183,0.6465,0.7689,0.4138,-0.3567,0.4434,0.018,-0.0774,0.0829,1024.4573,-1.98,-20.46,-2.04,70,171.972,-40.049,1.365,-83.4565
20:20:04:3,-0.0183,0.6465,0.7689,0.4138,-0.3567,0.4434,0.018,-0.0774,0.0829,1024.4543,-1.98,-20.46,-2.04,70,171.972,-40.049,1.365,-83.4565
20:20:04:3,-0.0232,0.6455,0.7747,0.4138,-0.3567,0.4434,0.018,-0.0774,0.0829,1024.4543,-1.98,-20.46,-2.04,70,171.966,-39.788,1.716,-83.4565
20:20:04:5,0.0173,0.6562,0.7684,0.4138,-0.3567,0.4434,0.018,-0.0774,0.0829,1024.4543,-1.98,-20.46,-2.04,70,172.25,-40.492,-1.293,43.6307
20:20:04:5,0.0173,0.6562,0.7684,0.4138,-0.3567,0.4434,0.018,-0.0774,0.0829,1024.4543,-5.04,-18.78,-4.44,70,156.441,-40.492,-1.293,43.6307
20:20:04:5,0.0173,0.6562,0.7684,0.4138,-0.3567,0.4434,0.0467,0.0075,0.0444,1024.4543,-5.04,-18.78,-4.44,70,156.441,-40.492,-1.293,43.6307
20:20:04:6,0.0173,0.6562,0.7684,0.4138,-0.3567,0.4434,0.0467,0.0075,0.0444,1024.4507,-5.04,-18.78,-4.44,70,156.441,-40.492,-1.293,43.6307
20:20:04:6,0.0173,0.6562,0.7684,0.4138,-0.3567,0.4434,0.0467,0.0075,0.0444,1024.4507,-5.04,-18.78,-4.44,69,156.441,-40.492,-1.293,43.6307
20:20:04:6,0.0173,0.6562,0.7684,0.3223,-0.1126,0.2274,0.0467,0.0075,0.0444,1024.4507,-5.04,-18.78,-4.44,69,156.441,-40.492,-1.293,43.6307
20:20:04:7,0.0137,0.6772,0.6787,0.3223,-0.1126,0.2274,0.0467,0.0075,0.0444,1024.4507,-5.04,-18.78,-4.44,69,153.866,-44.932,-1.155,43.6307
20:20:04:7,0.0137,0.6772,0.6787,0.3223,-0.1126,0.2274,0.0467,0.0075,0.0444,1024.4507,-5.1,-19.44,-3.66,69,155.653,-44.932,-1.155,43.6307
20:20:04:7,0.0137,0.6772,0.6787,0.3223,-0.1126,0.2274,0.0767,0.0197,0.0377,1024.4507,-5.1,-19.44,-3.66,69,155.653,-44.932,-1.155,43.6307
20:20:04:7,0.0137,0.6772,0.6787,0.3223,-0.1126,0.2274,0.0767,0.0197,0.0377,1024.4558,-5.1,-19.44,-3.66,69,155.653,-44.932,-1.155,43.6307
20:20:04:7,0.0137,0.6772,0.6787,0.3223,-0.1126,0.2274,0.0767,0.0197,0.0377,1024.4558,-5.1,-19.44,-3.66,69,155.653,-44.932,-1.155,43.6307
20:20:04:7,0.0137,0.6772,0.6787,0.1346,0.0604,-0.6233,0.0767,0.0197,0.0377,1024.4558,-5.1,-19.44,-3.66,69,155.653,-44.932,-1.155,43.6307
20:20:04:9,0.0061,0.6433,0.7989,0.1346,0.0604,-0.6233,0.0767,0.0197,0.0377,1024.4558,-5.1,-19.44,-3.66,69,158.418,-38.84,-0.438,54.33
20:20:04:9,0.0061,0.6433,0.7989,0.1346,0.0604,-0.6233,0.0767,0.0197,0.0377,1024.4558,-4.62,-18.24,-4.74,69,157.765,-38.84,-0.438,54.33
20:20:04:9,0.0061,0.6433,0.7989,0.1346,0.0604,-0.6233,-0.1885,0.6544,0.323,1024.4558,-4.62,-18.24,-4.74,69,157.765,-38.84,-0.438,54.33
20:20:04:9,0.0061,0.6433,0.7989,0.1346,0.0604,-0.6233,-0.1885,0.6544,0.323,1024.45,-4.62,-18.24,-4.74,69,157.765,-38.84,-0.438,54.33
20:20:04:9,0.0061,0.6433,0.7989,0.1346,0.0604,-0.6233,-0.1885,0.6544,0.323,1024.45,-4.62,-18.24,-4.74,70,157.765,-38.84,-0.438,54.33
20:20:04:9,0.0061,0.6433,0.7989,0.2108,-0.1276,0.4279,-0.1885,0.6544,0.323,1024.45,-4.62,-18.24,-4.74,70,157.765,-38.84,-0.438,54.33
20:20:05:1,0.0061,0.6433,0.7989,-0.1828,0.1954,0.2845,-0.1885,0.6544,0.323,1024.45,-4.62,-18.24,-4.74,70,157.765,-38.84,-0.438,72.2715
20:20:05:1,0.0061,0.6433,0.7989,-0.1828,0.1954,0.2845,0.0797,-0.0322,-0.0069,1024.45,-4.62,-18.24,-4.74,70,157.765,-38.84,-0.438,72.2715
20:20:05:1,0.0061,0.6433,0.7989,-0.1828,0.1954,0.2845,0.0797,-0.0322,-0.0069,1024.45,-3.9,-18.3,-4.5,70,161.289,-38.84,-0.438,72.2715
20:20:05:1,0.0061,0.6433,0.7989,-0.1828,0.1954,0.2845,0.0797,-0.0322,-0.0069,1024.45,-3.9,-18.3,-4.5,70,161.289,-38.84,-0.438,72.2715
20:20:05:1,0.0061,0.6433,0.7989,-0.1828,0.1954,0.2845,0.0797,-0.0322,-0.0069,1024.4468,-3.9,-18.3,-4.5,70,161.289,-38.84,-0.438,72.2715
20:20:05:1,-0.0315,0.6777,0.783,-0.1828,0.1954,0.2845,0.0797,-0.0322,-0.0069,1024.4468,-3.9,-18.3,-4.5,70,159.665,-40.854,2.305,72.2715
20:20:05:2,-0.0315,0.6777,0.783,-0.1828,0.1954,0.2845,0.0797,-0.0322,-0.0069,1024.4468,-3.9,-18.3,-4.5,69,159.665,-40.854,2.305,72.2715
20:20:05:2,-0.0315,0.6777,0.783,0.2863,-0.1337,0.1589,0.0797,-0.0322,-0.0069,1024.4468,-3.9,-18.3,-4.5,69,159.665,-40.854,2.305,72.2715
20:20:05:2,-0.0315,0.6777,0.783,0.2863,-0.1337,0.1589,0.0797,-0.0322,-0.0069,1024.4468,-5.4,-18.66,-3.6,69,155.04,-40.854,2.305,72.2715
20:20:05:2,-0.0315,0.6777,0.783,0.2863,-0.1337,0.1589,0.0797,-0.0322,-0.0069,1024.4529,-5.4,-18.66,-3.6,69,155.04,-40.854,2.305,72.2715
20:20:05:2,0.0408,0.6594,0.7566,0.2863,-0.1337,0.1589,0.0797,-0.0322,-0.0069,1024.4529,-5.4,-18.66,-3.6,69,155.724,-41.031,-3.087,72.2715
20:20:05:2,0.0408,0.6594,0.7566,0.2863,-0.1337,0.1589,0.0608,0.0179,0.0047,1024.4529,-5.4,-18.66,-3.6,69,155.724,-41.031,-3.087,72.2715
20:20:05:4,0.0408,0.6594,0.7566,0.2863,-0.1337,0.1589,0.0608,0.0179,0.0047,1024.4473,-5.4,-18.66,-3.6,69,155.724,-41.031,-3.087,69.2347
20:20:05:4,0.0193,0.6846,0.7325,0.2863,-0.1337,0.1589,0.0608,0.0179,0.0047,1024.4473,-5.4,-18.66,-3.6,69,154.424,-43.055,-1.509,69.2347
20:20:05:4,0.0193,0.6846,0.7325,0.0556,0.0679,-0.0366,0.0608,0.0179,0.0047,1024.4473,-5.4,-18.66,-3.6,69,154.424,-43.055,-1.509,69.2347
20:20:05:4,0.0193,0.6846,0.7325,0.0556,0.0679,-0.0366,0.0608,0.0179,0.0047,1024.4473,-5.4,-18.66,-3.6,69,154.424,-43.055,-1.509,69.2347
20:20:05:4,0.0193,0.6846,0.7325,0.0556,0.0679,-0.0366,0.0608,0.0179,0.0047,1024.4473,-3.96,-18.78,-3.18,69,161.351,-43.055,-1.509,69.2347
20:20:05:4,0.0193,0.6846,0.7325,0.0556,0.0679,-0.0366,-0.048,0.0588,0.0456,1024.4473,-3.96,-18.78,-3.18,69,161.351,-43.055,-1.509,69.2347
20:20:05:6,0.0193,0.6846,0.7325,0.0556,0.0679,-0.0366,-0.048,0.0588,0.0456,1024.4446,-3.96,-18.78,-3.18,69,161.351,-43.055,-1.509,69.2347
20:20:05:6,-0.0103,0.7217,0.7354,0.0556,0.0679,-0.0366,-0.048,0.0588,0.0456,1024.4446,-3.96,-18.78,-3.18,69,160.354,-44.459,0.799,69.2347
20:20:05:6,-0.0103,0.7217,0.7354,-0.2924,0.5352,-0.1004,-0.048,0.0588,0.0456,1024.4446,-3.96,-18.78,-3.18,69,160.354,-44.459,0.799,69.2347
20:20:05:6,-0.0103,0.7217,0.7354,-0.2924,0.5352,-0.1004,-0.048,0.0588,0.0456,1024.4446,-3.96,-18.78,-3.18,69,160.354,-44.459,0.799,69.2347
20:20:05:6,-0.0103,0.7217,0.7354,-0.2924,0.5352,-0.1004,-0.048,0.0588,0.0456,1024.4446,-5.58,-18.78,-4.26,69,151.706,-44.459,0.799,69.2347
20:20:05:6,-0.0103,0.7217,0.7354,-0.2924,0.5352,-0.1004,-0.1494,0.1321,0.0963,1024.4446,-5.58,-18.78,-4.26,69,151.706,-44.459,0.799,69.2347
20:20:05:8,-0.0103,0.7217,0.7354,-0.2924,0.5352,-0.1004,-0.1494,0.1321,0.0963,1024.4478,-5.58,-18.78,-4.26,69,151.706,-44.459,0.799,68.0318
20:20:05:8,0.0559,0.5531,0.8771,-0.2924,0.5352,-0.1004,-0.1494,0.1321,0.0963,1024.4478,-5.58,-18.78,-4.26,69,158.488,-32.185,-3.65,68.0318
20:20:05:8,0.0559,0.5531,0.8771,0.5095,-0.715,0.9454,-0.1494,0.1321,0.0963,1024.4478,-5.58,-18.78,-4.26,69,158.488,-32.185,-3.65,68.0318
20:20:05:8,0.0559,0.5531,0.8771,0.5095,-0.715,0.9454,-0.1494,0.1321,0.0963,1024.4478,-5.58,-18.78,-4.26,72,158.488,-32.185,-3.65,68.0318
20:20:05:8,0.0559,0.5531,0.8771,0.5095,-0.715,0.9454,-0.1494,0.1321,0.0963,1024.4478,-4.2,-16.74,-5.58,72,160.869,-32.185,-3.65,68.0318
20:20:05:8,0.0559,0.5531,0.8771,0.5095,-0.715,0.9454,-0.2465,-0.0157,0.1605,1024.4478,-4.2,-16.74,-5.58,72,160.869,-32.185,-3.65,68.0318
20:20:06:0,0.0559,0.5531,0.8771,0.5095,-0.715,0.9454,-0.2465,-0.0157,0.1605,1024.4478,-4.2,-15.48,-5.7,72,158.913,-32.185,-3.65,75.1404
20:20:06:0,0.0559,0.5531,0.8771,0.5095,-0.715,0.9454,-0.2465,-0.0157,0.1605,1024.448,-4.2,-15.48,-5.7,72,158.913,-32.185,-3.65,75.1404
20:20:06:0,0.0083,0.5908,0.8097,0.5095,-0.715,0.9454,-0.2465,-0.0157,0.1605,1024.448,-4.2,-15.48,-5.7,72,155.579,-36.114,-0.588,75.1404
20:20:06:0,0.0083,0.5908,0.8097,0.5095,-0.715,0.9454,-0.2465,-0.0157,0.1605,1024.448,-4.2,-15.48,-5.7,74,155.579,-36.114,-0.588,75.1404
20:20:06:0,0.0083,0.5908,0.8097,0.4983,-0.5301,0.8008,-0.2465,-0.0157,0.1605,1024.448,-4.2,-15.48,-5.7,74,155.579,-36.114,-0.588,75.1404
20:20:06:0,0.0083,0.5908,0.8097,0.4983,-0.5301,0.8008,-0.0089,0.0423,-0.0607,1024.448,-4.2,-15.48,-5.7,74,155.579,-36.114,-0.588,75.1404
20:20:06:1,0.0083,0.5908,0.8097,0.4983,-0.5301,0.8008,-0.0089,0.0423,-0.0607,1024.4563,-4.2,-15.48,-5.7,74,155.579,-36.114,-0.588,75.1404
20:20:06:1,0.0066,0.5908,0.7882,0.4983,-0.5301,0.8008,-0.0089,0.0423,-0.0607,1024.4563,-4.2,-15.48,-5.7,74,155.106,-36.852,-0.48,75.1404
20:20:06:1,0.0066,0.5908,0.7882,0.0438,-0.1689,-0.0651,-0.0089,0.0423,-0.0607,1024.4563,-4.2,-15.48,-5.7,74,155.106,-36.852,-0.48,75.1404
20:20:06:1,0.0066,0.5908,0.7882,0.0438,-0.1689,-0.0651,-0.0089,0.0423,-0.0607,1024.4563,-4.2,-15.48,-5.7,74,155.106,-36.852,-0.48,75.1404
20:20:06:1,0.0066,0.5908,0.7882,0.0438,-0.1689,-0.0651,-0.0089,0.0423,-0.0607,1024.4563,-3.78,-16.32,-5.94,74,158.517,-36.852,-0.48,75.1404
20:20:06:1,0.0066,0.5908,0.7882,0.0438,-0.1689,-0.0651,0.1475,-0.02,-0.0674,1024.4563,-3.78,-16.32,-5.94,74,158.517,-36.852,-0.48,75.1404
20:20:06:3,-0.0208,0.6044,0.8001,0.0438,-0.1689,-0.0651,0.1475,-0.02,-0.0674,1024.4563,-3.78,-16.32,-5.94,74,157.52,-37.059,1.487,71.4922
20:20:06:3,-0.0208,0.6044,0.8001,0.0438,-0.1689,-0.0651,0.1475,-0.02,-0.0674,1024.4563,-2.52,-17.16,-5.58,74,165.595,-37.059,1.487,71.4922
20:20:06:3,-0.0208,0.6044,0.8001,0.0438,-0.1689,-0.0651,-0.0663,0.0313,-0.0716,1024.4563,-2.52,-17.16,-5.58,74,165.595,-37.059,1.487,71.4922
20:20:06:3,-0.0208,0.6044,0.8001,0.0438,-0.1689,-0.0651,-0.0663,0.0313,-0.0716,1024.4563,-2.52,-17.16,-5.58,74,165.595,-37.059,1.487,71.4922
20:20:06:3,-0.0208,0.6044,0.8001,0.0438,-0.1689,-0.0651,-0.0663,0.0313,-0.0716,1024.4563,-2.52,-17.16,-5.58,73,165.595,-37.059,1.487,71.4922
20:20:06:3,-0.0208,0.6044,0.8001,-0.057,-0.0598,0.0728,-0.0663,0.0313,-0.0716,1024.4563,-2.52,-17.16,-5.58,73,165.595,-37.059,1.487,71.4922
20:20:06:5,-0.0208,0.6044,0.8001,-0.057,-0.0598,0.0728,-0.0663,0.0313,-0.0716,1024.4463,-2.52,-17.16,-5.58,73,165.595,-37.059,1.487,71.4922
20:20:06:5,-0.0503,0.6008,0.8272,-0.057,-0.0598,0.0728,-0.0663,0.0313,-0.0716,1024.4463,-2.52,-17.16,-5.58,73,165.084,-35.938,3.482,71.4922
20:20:06:5,-0.0503,0.6008,0.8272,-0.0975,-0.0181,0.288,-0.0663,0.0313,-0.0716,1024.4463,-2.52,-17.16,-5.58,73,165.084,-35.938,3.482,71.4922
20:20:06:5,-0.0503,0.6008,0.8272,-0.0975,-0.0181,0.288,-0.0663,0.0313,-0.0716,1024.4463,-2.52,-17.16,-5.58,74,165.084,-35.938,3.482,71.4922
20:20:06:5,-0.0503,0.6008,0.8272,-0.0975,-0.0181,0.288,-0.0663,0.0313,-0.0716,1024.4463,1.62,-18.72,-2.04,74,-173.871,-35.938,3.482,71.4922
20:20:06:5,-0.0503,0.6008,0.8272,-0.0975,-0.0181,0.288,-0.0076,0.1089,-0.0326,1024.4463,1.62,-18.72,-2.04,74,-173.871,-35.938,3.482,71.4922
20:20:06:7,-0.0503,0.6008,0.8272,-0.0975,-0.0181,0.288,-0.0076,0.1089,-0.0326,1024.4448,1.62,-18.72,-2.04,74,-173.871,-35.938,3.482,68.5482
